,time,user,session,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,resolution,graph,position,scenario,story,globalPosition,minTime,timeDelta
33600,1550579928554,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.07029411764705883,juxtaposed-animated,demographics,0.07029411764705883,1550579909786,18.768
33601,1550579928558,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5121428571428571,juxtaposed-animated,demographics,,1550579909786,18.772
33602,1550579928560,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.7925,juxtaposed-animated,demographics,,1550579909786,18.774
33603,1550579928576,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.0707843137254902,juxtaposed-animated,demographics,0.0707843137254902,1550579909786,18.79
33604,1550579928579,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5157142857142857,juxtaposed-animated,demographics,,1550579909786,18.793
33605,1550579928581,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.805,juxtaposed-animated,demographics,,1550579909786,18.795
33606,1550579928597,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.07098039215686275,juxtaposed-animated,demographics,0.07098039215686275,1550579909786,18.811
33607,1550579928600,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5171428571428571,juxtaposed-animated,demographics,,1550579909786,18.814
33608,1550579928604,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.81,juxtaposed-animated,demographics,,1550579909786,18.818
33609,1550579928620,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.0711764705882353,juxtaposed-animated,demographics,0.0711764705882353,1550579909786,18.834
33610,1550579928625,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5185714285714286,juxtaposed-animated,demographics,,1550579909786,18.839
